
161.4   4.36838 50.84107
2867.4  4.72362 51.24828
2422.2  5.44442 50.99984
2982.2  3.83908 51.04147
2106.1  4.54287 50.87109
3134.4  3.0454  51.04361
1090.6  4.55825 50.66803
3785.7  3.73603 50.37905
3862.4  5.69395 50.47087
4439.8  5.49743 49.96492
3665.9  4.84467 50.21932
10557.6 9.62018 49.14532
6919.1  8.78395 48.98066
9357.2  8.36871 48.12702
8917.5  9.44599 48.10798
17528.8 11.90471    48.24095
10331   12.71869    48.6906
9691.3  12.17763    49.41188
7231.3  11.35896    50.05604
7245.8  10.83546    49.32329
8532.5  9.92945 50.02299
9993.2  10.45683    48.15197
404.2   8.73818 53.11956
755.3   10.03116    53.56784
7444.6  8.76087 49.94831
5381.1  8.80725 50.63027
8288.6  9.35555 51.00765
8096.6  10.25073    52.06621
9048.1  9.30263 52.34891
15244.3 9.96894 53.19127
14958.5 7.68438 52.91488
5288.4  6.63272 51.45793
7364.6  6.82829 50.787
6902.1  7.35761 51.97622
6517.5  8.76969 51.98646
7998.9  8.03717 51.2139
8092.9  7.44617 50.24493
4922.2  6.69177 49.95745
6830.6  7.87829 49.5258
2570.3  6.88582 49.37746
15731.9 9.79564 54.21515
43080   9.51416 55.93924
29434   -8.00769    42.80548
10565   -5.836  43.28646
5298    -3.98266    43.15163
7261    -2.5741 42.97442
10421   -1.59697    42.61913
5034    -2.39438    42.28844
47650   -0.69822    41.38932
7995    -3.812  40.53695
94193   -4.41795    41.67651
79230   -3.16019    39.69205
41602   -6.08118    39.22096
31930   1.7464  41.70401
23305   -0.50215    39.33167
5014    2.87698 39.63179
87268   -4.58429    37.37627
11317   -1.52818    38.08066
12012.2 2.4865  48.67906
25605.8 4.64727 48.87061
19399.4 2.80766 49.61449
12317.4 0.91538 49.37291
39150.8 1.58653 47.64975
17589.3 -0.50958    48.95135
31581.9 4.19361 47.28052
12414.1 2.88236 50.53735
23547.4 6.26905 48.71498
8280.2  7.54121 48.25117
16202.3 6.20451 47.14053
32081.8 -0.83629    47.41359
27207.8 -2.92951    48.07939
25809.5 -0.19351    46.14064
41308.4 -0.17503    44.25556
45347.8 1.56583 43.82501
16942.3 1.61307 45.6922
43698.1 5.43728 45.31643
26012.9 3.27034 45.70119
27375.8 3.26904 43.66324
31399.6 5.97787 44.06045
14157.9 25.14199    41.07997
18810.9 23.06276    40.66056
9451.5  21.47914    40.37013
14036.9 22.66387    39.56007
9203.6  20.71146    39.63844
2307.2  19.87713    39.59381
11350.7 21.75396    37.84512
15549.7 23.03872    38.59534
15490.5 22.51622    37.26605
3808.2  23.58355    37.99118
3836    26.00189    39.17972
5286.3  27.96614    36.16985
8336.1  24.91818    35.2523
25398.9 7.91203 45.26639
3263.5  7.37077 45.72891
5418.1  9.68555 44.22626
23872   9.96402 45.65515
13607.3 11.42882    46.3813
18364.6 11.85609    45.73571
7844.1  13.10977    46.11226
22124.4 10.97777    44.4418
22992.6 11.03352    43.35836
8456    12.57715    42.99618
9693.5  13.00789    43.33013
17227.3 12.73873    41.85054
10794.2 13.90465    42.28842
4437.7  14.54908    41.72007
13595.3 14.78239    40.75104
19357.1 16.72858    40.86582
9992.3  16.0987 40.52032
15080.3 16.42113    39.03067
25706.9 13.79088    37.68668
24089.9 8.98128 40.08599
2586.4  6.13686 49.81268
5740.7  5.63899 53.15635
2680.5  6.60723 52.90737
10494.3 6.03847 52.29595
1434.3  5.2105  52.11342
4042.2  4.94477 52.67808
3445.8  4.51304 51.99278
2931.9  3.8287  51.48067
5081.9  5.1215  51.5262
2209.4  5.89492 51.25581
21278.3 -7.51308    41.46376
23668.3 -7.88539    40.27085
11931.3 -8.59456    39.14279
26931.3 -7.90605    38.5186
4988.5  -8.19811    37.27439
15416   -2.78957    54.88893
15410   -1.20555    53.9227
15628   -0.85097    52.79553
12570   0.63097 52.45919
27224   -0.26036    51.44753
23828   -3.93293    50.99671
13004   -2.20592    52.51961
7342    -2.56063    53.59534
20766   -4.00273    52.40535
77080   -4.23227    57.79976
13483   -6.80146    54.66489
